boundary_mode,ci95_high,ci95_low,horizon,layer,mean,metric,model,n_problems
reserved,0.9923469599514837,0.990490727099831,0,-1,0.9914231107836274,layer_smoothness,A,492
reserved,1.3811741445695216,1.3553915909078547,1,4,1.3683904115056804,cos_score,A,492
reserved,0.16269212233287175,0.15372958809780582,1,4,0.15821576908207793,normalized_mse,A,492
reserved,0.3876525909729299,0.36571727093588186,2,4,0.37659933645488775,normalized_mse,A,492
reserved,0.8232581297907449,0.7740423720896954,3,4,0.7977074897217771,normalized_mse,A,486
reserved,2.1165712526681104,1.9821511341756994,5,4,2.0488142368538815,normalized_mse,A,466
reserved,0.7912598486289255,0.780986960205861,1,4,0.7861917301335423,perp_score,A,492
reserved,1.294312607715191,1.2625886303651737,1,8,1.278657715600398,cos_score,A,492
reserved,0.1374698168182507,0.129583261627962,1,8,0.13353617545377344,normalized_mse,A,492
reserved,0.3541846911239122,0.3343955978069111,2,8,0.34412346139276623,normalized_mse,A,492
reserved,0.8006680342381923,0.7479669672326406,3,8,0.773053510371725,normalized_mse,A,486
reserved,2.274665592152293,2.1041390868867387,5,8,2.187596123247669,normalized_mse,A,466
reserved,0.7518855096788379,0.738674275788017,1,8,0.7453629183974767,perp_score,A,492
reserved,1.1605308170767628,1.122483879296112,1,12,1.1417280730488502,cos_score,A,492
reserved,0.07807034447585344,0.07339341341188428,1,12,0.07573607558141805,normalized_mse,A,492
reserved,0.2109723272353384,0.19863915492073986,2,12,0.20471451006146657,normalized_mse,A,492
reserved,0.48885687358671065,0.4564936679015512,3,12,0.4720173347900698,normalized_mse,A,486
reserved,1.4567896901587962,1.344385175578377,5,12,1.3993380461338487,normalized_mse,A,466
reserved,0.7115766204215064,0.696437247195195,1,12,0.7041363706698313,perp_score,A,492
reserved,1.0047477806589176,0.9610955295400597,1,16,0.9830105564595727,cos_score,A,492
reserved,0.025100132733827912,0.023884920430170393,1,16,0.02449478222344604,normalized_mse,A,492
reserved,0.07028794936510388,0.06634460130008601,2,16,0.06825551030676094,normalized_mse,A,492
reserved,0.16141507725184473,0.1513248737186753,3,16,0.15616322894684936,normalized_mse,A,486
reserved,0.4859334928148124,0.4482114575322724,5,16,0.4667634420674507,normalized_mse,A,466
reserved,0.6674706043925848,0.6502554729254036,1,16,0.6589665957577766,perp_score,A,492
reserved,0.7282056557204415,0.6847792257314094,1,20,0.7064896594527026,cos_score,A,492
reserved,0.005924376605309269,0.005656483908475913,1,20,0.005791350106026967,normalized_mse,A,492
reserved,0.017607154647748837,0.016522420873903015,2,20,0.01704091577651587,normalized_mse,A,492
reserved,0.040341503315188265,0.03755958767365569,3,20,0.0388758597026808,normalized_mse,A,486
reserved,0.12567491484308882,0.11517169003066158,5,20,0.12035208472624444,normalized_mse,A,466
reserved,0.5667975587251608,0.5482783985043818,1,20,0.5575980701244536,perp_score,A,492
reserved,0.5778916496808968,0.5364015651396326,1,24,0.5568561675818298,cos_score,A,492
reserved,0.003079712630378832,0.0029455766773095744,1,24,0.0030127624382175824,normalized_mse,A,492
reserved,0.009324064981834234,0.008735833180840395,2,24,0.009016820173599838,normalized_mse,A,492
reserved,0.02124828265449972,0.019740832839259967,3,24,0.02045635064070288,normalized_mse,A,486
reserved,0.06647161812364234,0.06083691071304305,5,24,0.0636022051088623,normalized_mse,A,466
reserved,0.5005209998706783,0.4814830583997566,1,24,0.49101144315415923,perp_score,A,492
