boundary_mode,ci95_high,ci95_low,comparison,horizon,improvement_ratio_left_over_right,layer,left,left_mean,mean_difference,metric,n_problems,right,right_mean
reserved,0.0035314481021913183,0.0007613848371607983,A-C,0,0.9978434785065291,-1,C,0.9892850855360987,0.0021380252475287683,layer_smoothness,492,A,0.9914231107836274
reserved,-0.025769667001969154,-0.036878785845234234,A-C,1,1.022830658587774,4,C,1.3996316658055503,-0.031241254299870014,cos_score,492,A,1.3683904115056804
reserved,-0.2588072570720931,-0.2772549942600962,A-C,1,2.6926246583863285,4,C,0.42601568117596034,-0.26779991209388243,normalized_mse,492,A,0.15821576908207793
reserved,-0.61957677347165,-0.6657286973663071,A-C,2,2.7042929979162955,4,C,1.018434948594876,-0.6418356121399882,normalized_mse,492,A,0.37659933645488775
reserved,-1.2544122197063174,-1.3504544411819097,A-C,3,2.6310615737992045,4,C,2.0988175233387913,-1.3011100336170138,normalized_mse,486,A,0.7977074897217771
reserved,-3.2093472569903407,-3.5147787038065097,A-C,5,2.640212763115379,4,C,5.409305497394113,-3.3604912605402313,normalized_mse,466,A,2.0488142368538815
reserved,-0.004638898440443644,-0.008305901712990406,A-C,1,1.0081541247126609,4,C,0.7926024355491138,-0.006410705415571506,perp_score,492,A,0.7861917301335423
reserved,-0.1029813684755552,-0.11516579176561564,A-C,1,1.085203985953315,8,C,1.387604449639512,-0.10894673403911385,cos_score,492,A,1.278657715600398
reserved,-0.517191965683658,-0.5423517338525617,A-C,1,4.966903604524351,8,C,0.6632613111957435,-0.52972513574197,normalized_mse,492,A,0.13353617545377344
reserved,-1.2357235683745103,-1.279047631009824,A-C,2,4.653802044687748,8,C,1.6014824682546809,-1.2573590068619147,normalized_mse,492,A,0.34412346139276623
reserved,-2.6097377713254746,-2.712856974010972,A-C,3,4.441306554759687,8,C,3.4333676227939276,-2.6603141124222023,normalized_mse,486,A,0.773053510371725
reserved,-6.68573071230572,-6.98179741779268,A-C,5,4.123839711926661,8,C,9.021295766705547,-6.833699643457879,normalized_mse,466,A,2.187596123247669
reserved,-0.04280316147182986,-0.047411883892376806,A-C,1,1.0604511013161078,8,C,0.7904209276947923,-0.04505800929731557,perp_score,492,A,0.7453629183974767
reserved,-0.22250168967461093,-0.2396445776016843,A-C,1,1.2022448146749924,12,C,1.372636655591851,-0.23090858254300115,cos_score,492,A,1.1417280730488502
reserved,-1.0881202319727294,-1.146783327562302,A-C,1,15.753920208125804,12,C,1.1931400915862451,-1.117404016004827,normalized_mse,492,A,0.07573607558141805
reserved,-2.6030090847145235,-2.6991350179886817,A-C,2,13.949704016335541,12,C,2.855706823206603,-2.650992313145136,normalized_mse,492,A,0.20471451006146657
reserved,-5.496029761433354,-5.719604877945103,A-C,3,12.876197496325396,12,C,6.077788424446083,-5.605771089656012,normalized_mse,486,A,0.4720173347900698
reserved,-13.909504567846064,-14.506437443906497,A-C,5,11.154829201096462,12,C,15.609376899219123,-14.210038853085276,normalized_mse,466,A,1.3993380461338487
reserved,-0.08089100839311847,-0.0874069670941979,A-C,1,1.1194291189590873,12,C,0.7882307570459784,-0.0840943863761472,perp_score,492,A,0.7041363706698313
reserved,-0.4042559343964565,-0.4328731202427417,A-C,1,1.4256003830833275,16,C,1.4013802258637218,-0.41836966940414916,cos_score,492,A,0.9830105564595727
reserved,-1.5388594147656072,-1.6083253073183712,A-C,1,65.23696140398357,16,C,1.597965162509932,-1.5734703802864862,normalized_mse,492,A,0.02449478222344604
reserved,-3.77304825955114,-3.9018649620912775,A-C,2,57.20795173136304,16,C,3.904757939028732,-3.836502428721971,normalized_mse,492,A,0.06825551030676094
reserved,-7.841010872558061,-8.13730432027609,A-C,3,52.13820305522202,16,C,8.142070140589958,-7.985906911643109,normalized_mse,486,A,0.15616322894684936
reserved,-19.48025977767294,-20.272596618379207,A-C,5,43.57809281834964,16,C,20.34066060262773,-19.873897160560276,normalized_mse,466,A,0.4667634420674507
reserved,-0.1361219264408521,-0.14640607703686992,A-C,1,1.214134661493178,16,C,0.80007418467568,-0.14110758891790343,perp_score,492,A,0.6589665957577766
reserved,-0.6596553888960014,-0.6902190969703137,A-C,1,1.9554712545199855,20,C,1.3815202206753736,-0.6750305612226709,cos_score,492,A,0.7064896594527026
reserved,-1.3728714564862248,-1.4384947586027732,A-C,1,243.71201039170182,20,C,1.4114215772220278,-1.4056302271160008,normalized_mse,492,A,0.005791350106026967
